CH06_03_S_art,artificial,small,10 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH06_04_S_art,artificial,small,10 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH06_05_L_nat,natural,large,10 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH06_06_L_nat,natural,large,10 C,6/23/21,107,6/25/21,5,N/A,1+ Calytopis observed,Removed after eggs laid
CH06_07_L_art,artificial,large,10 C,N/A,N/A,N/A,N/A,6/30/21,N/A,"Held out for awhile, eventually died clear. "
CH06_08_L_art,artificial,large,10 C,6/23/21,22,6/28/21,16,N/A,Saw dead & live larvae,Removed after eggs laid
CH07_09_S_nat,natural,small,10 C,N/A,N/A,N/A,N/A,6/24/21,N/A,Died clear
CH07_10_S_nat,natural,small,10 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH07_11_S_art,artificial,small,10 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH07_12_S_art,artificial,small,10 C,N/A,N/A,N/A,N/A,6/24/21,N/A,Died still purple
CH07_13_L_nat,natural,large,10 C,6/23/21,54,6/25/21,33,N/A,At least 2+ Calytopis observed,Removed after eggs laid
CH07_14_L_nat,natural,large,10 C,6/23/21,79,6/25/21,4,N/A,4+ Calytopis observed,Removed after eggs laid
CH07_15_L_art,artificial,large,10 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH07_16_L_art,artificial,large,10 C,N/A,N/A,N/A,N/A,6/25/21,N/A,Died clear
CH08_17_S_nat,natural,small,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH08_18_S_nat,natural,small,15 C,N/A,N/A,N/A,N/A,6/24/21,N/A,Died clear
CH08_19_S_art,artificial,small,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH08_20_S_art,artificial,small,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH08_21_L_nat,natural,large,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH08_22_L_nat,natural,large,15 C,6/23/21,19,6/25/21,5,N/A, No live larvea found at jar bottom ,Removed after eggs laid
CH08_23_L_art,artificial,large,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH08_24_L_art,artificial,large,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH09_25_S_nat,natural,small,15 C,N/A,N/A,N/A,N/A,6/24/21,N/A,Died clear
CH09_26_S_nat,natural,small,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH09_27_S_art,artificial,small,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH09_28_S_art,artificial,small,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH09_29_L_nat,natural,large,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH09_30_L_nat,natural,large,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died clear
CH09_31_L_art,artificial,large,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
CH09_32_L_art,artificial,large,15 C,N/A,N/A,N/A,N/A,6/23/21,N/A,Died still purple
